FILE: ./AI-Agent-Onboarding-Protocol/archive/AI_AGENT_ONBOARDING.txt.ots | HASH: 44ec603744fed553c4de61091e930bbab1ebf92ebc8fc9e23b48ea028141aeac | ANCHOR: 933268
FILE: ./Physics/MEDSTRATE_PROTOCOL.md | HASH: fd8500bf59b977080c58fa2618ff6431ff5fc2571059e2c2a7ff3d25a5e5ab11 | ANCHOR: 933268
FILE: ./Physics/MEDSTRATE_PROTOCOL.md.ots | HASH: 89e9d801797759ac2a2618adf89cbc17308f98807ae743d95e47eb966591af93 | ANCHOR: 933268
FILE: ./Physics/README.md | HASH: 505af6f12cf3064c3b8fdc074b1ef204c225f371216b45ab2dca2accb343c137 | ANCHOR: 933268
FILE: ./Physics/README.md.ots | HASH: 045abb917b49e0a2c913be15c704a14a1f1982b0c0676c425d7442304b554f45 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/AIQ_Attestation.md | HASH: 19bdd3ad775845689d749cc896689e7572fa6333a4040eb7c0135541c8fdc908 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Architects_AIQ_1st_Edition.md | HASH: ad94414010aa9ee1e37dbc9aefe68917a08fd03317963d317cb27e544ff7f0e3 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/EdStrate/Active_Courses/Quantum_Computing/Custom_Syllabus.md | HASH: e84a266b4e454bd12aa3b2147cb0724835bb1e6eb84aa5639b8178780a5c3976 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/EdStrate/Active_Courses/Quantum_Computing/Custom_Syllabus.md.ots | HASH: 530f3f2854221b325eae612c24cf848471f5f793185f02ca950e689d011f4a75 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/EdStrate/Standardized_Testing/Contract_Reciprocity/FAMC-1770497984.json | HASH: 4b8c18f51d6ccd1d520833daaca2e8debdd3dc67be1d1449b560b407cf619387 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/EdStrate/Standardized_Testing/Contract_Reciprocity/FAMC-1770497984.json.ots | HASH: 924e541f7a9f50dab5a6a05b2ad43ac1068eacaa5527b446d4d5a2d0db018603 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/EdStrate/Standardized_Testing/Rotated_Matrices/ROT-1770499130.md | HASH: 4111079e99bce9729e2ee38b32e2d8b3d788278d0973c695c60f3c65b668148e | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/EdStrate/Standardized_Testing/Rotated_Matrices/ROT-1770499130.md.ots | HASH: 279f3e053c709baf898ad0fe9b3b0d05fde9805209cdf7ac1ac94a79d9ba6c4f | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/alignment_anchor_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/alignment_anchor_20260207.sh.ots | HASH: b4fefe5df0f12572a5da103a122f4a882ed3d32272071f8fb2a4c3592d2875b3 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/attestation_sync_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/attestation_sync_20260207.sh.ots | HASH: 51a2441963278d46721d9b3523dcbe417b30a2dc43397aa74e314a6619bc9c5c | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/audit_binder_sync_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/boundary_anchor_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
